iter	RMSE
353	161.7122893
354	161.6237615
355	161.6221325
356	161.507739
357	161.3800879
358	161.3651811
359	161.3600799
360	161.3258699
361	161.3206053
362	161.3099298
363	161.3047852
364	161.1777178
365	161.0265598
366	161.0163092
367	160.9997244
368	160.9450945
369	160.7591052
370	160.7385985
371	160.6627258
372	160.6445735
373	160.6058138
374	160.5911602
375	160.5516225
376	160.5047562
377	160.3776875
378	160.3383061
379	160.3236585
380	160.2070169
381	160.1920811
382	160.033807
383	160.023659
384	160.0208183
385	160.0198156
386	159.9379347
387	159.92291
388	159.8814825
389	159.867685
390	159.7992159
391	159.7666215
392	159.7498778
393	159.7379994
394	159.63725
395	159.6041666
396	159.4806378
397	159.4676831
398	159.4661495
399	159.3807929
400	159.3509388
401	159.3435585
402	159.3410712
403	159.2436175
404	159.1863561
405	159.133095
406	159.0964655
407	159.0486474
408	159.04628
409	159.0280817
410	158.9214172
411	158.8366981
412	158.834823
413	158.7772873
414	158.7179407
415	158.7061784
416	158.6606274
417	158.6475241
418	158.6341281
419	158.6326992
420	158.595233
421	158.5203122
422	158.5176365
423	158.4198157
424	158.3575936
425	158.2929536
426	158.2741956
427	158.2530716
428	158.1353772
429	158.0409714
430	158.0409646
431	157.9321588
432	157.863213
433	157.8129104
434	157.8086756
435	157.7183927
436	157.6515418
437	157.517548
438	157.5052713
439	157.4962006
440	157.330552
441	157.2632924
442	157.2059681
443	157.0979803
444	156.9990329
445	156.9922107
446	156.883549
447	156.857079
448	156.7710364
449	156.6903748
450	156.6410461
451	156.5465138
452	156.5462138
453	156.4588412
454	156.3526942
455	156.3211392
456	156.2878126
457	156.2275989
458	156.1556348
459	156.1431155
460	156.1140781
461	156.0167527
462	155.8956998
463	155.8321478
464	155.8311047
465	155.8056024
466	155.7802146
467	155.6557127
468	155.5918492
469	155.5364393
470	155.5339767
471	155.5316547
472	155.5114698
473	155.4435892
474	155.4372323
475	155.4368655
476	155.4366059
477	155.4290403
478	155.3763114
479	155.3011159
480	155.2743498
481	155.2460212
482	155.209849
483	155.0726727
484	155.0299795
485	155.0183104
486	155.0126924
487	154.9272539
488	154.8578422
489	154.8468341
490	154.8184111
491	154.797793
492	154.779265
493	154.7757288
494	154.7612583
495	154.7041877
496	154.6855021
497	154.6740338
498	154.6726575
499	154.5830244
500	154.5192036
501	154.5123272
502	154.504027
503	154.4348363
504	154.3362238
505	154.3334124
506	154.2814791
507	154.2142953
508	154.1779189
509	154.0787565
510	154.0517009
511	153.991299
512	153.9831898
513	153.935894
514	153.9244217
515	153.8871027
516	153.7929848
517	153.6785123
518	153.6113166
519	153.5931693
520	153.5580242
521	153.5199945
522	153.5011614
523	153.4985829
524	153.4881274
525	153.4691182
526	153.4582873
527	153.451756
528	153.4145533
529	153.37539
530	153.3517645
531	153.3089703
532	153.291596
533	153.2688399
534	153.2234376
535	153.1563824
536	153.0969387
537	153.071072
538	152.9487182
539	152.9092187
540	152.8743954
541	152.8519646
542	152.7889693
543	152.7627257
544	152.7385839
545	152.7184929
546	152.6600459
547	152.5474125
548	152.4929082
549	152.4156347
550	152.4015316
551	152.3925332
