iter	RMSE
0	236.7115579
1	235.9309518
2	234.9614095
3	234.0890073
4	233.4238109
5	232.7960525
6	232.091268
7	231.2976267
8	230.4862335
9	229.6461913
10	229.079098
11	228.4197598
12	227.6220051
13	227.0242039
14	226.3424353
15	225.6662988
16	224.9448091
17	224.424863
18	223.7038268
19	223.1545543
20	222.4442766
21	221.8082529
22	221.4010193
23	220.6793191
24	220.0134926
25	219.514137
26	218.7094395
27	218.2248015
28	217.7280429
29	217.095298
30	216.618764
31	216.0871501
32	215.6479298
33	214.9427636
34	214.3302343
35	214.0021345
36	213.3985749
37	212.9511612
38	212.5286983
39	212.1144826
40	211.6936776
41	211.2783581
42	210.7400985
43	210.324934
44	209.9374228
45	209.4479797
46	208.9294685
47	208.4395264
48	207.8984041
49	207.3167437
50	206.8196265
51	206.5487245
52	206.2520504
53	205.909516
54	205.5480984
55	205.0980577
56	204.6650067
57	204.4458318
58	204.0997452
59	203.8923445
60	203.5204858
61	203.2037974
62	202.7512021
63	202.445576
64	202.1146928
65	202.0015009
66	201.8182944
67	201.2535089
68	200.9618274
69	200.7268563
70	200.4441629
71	200.1265429
72	199.7275049
73	199.4827215
74	199.3089523
75	199.0372441
76	198.775215
77	198.5117407
78	198.3338294
79	198.1617319
80	197.9031998
81	197.6878894
82	197.4030252
83	197.1225438
84	196.8359468
85	196.7277469
86	196.4503174
87	196.3024555
88	196.0277062
89	195.5699235
90	195.3428678
91	194.9924899
92	194.8483145
93	194.5339251
94	194.2926263
95	194.1073185
96	193.8701811
97	193.4966136
98	193.1952555
99	193.0131372
100	192.7761265
101	192.7100924
102	192.4438995
103	192.1491049
104	191.9270217
105	191.82598
106	191.6617461
107	191.6129742
108	191.494995
109	191.2963501
110	190.7435948
111	190.6322196
112	190.5399268
113	190.1069456
114	189.7271168
115	189.5879537
116	189.3945117
117	189.0336958
118	188.9506845
119	188.8704334
120	188.6334739
121	188.2434993
122	187.9671082
123	187.4953806
124	187.274734
125	187.0981558
126	186.7117454
127	186.5248621
128	186.1410166
129	185.7831584
130	185.3471901
131	185.2616217
132	185.1097318
133	184.8016288
134	184.767385
135	184.3437378
136	184.0849771
137	183.6699031
138	183.5798278
139	183.3817033
140	183.3326122
141	183.0566761
142	182.8736092
143	182.662379
144	182.3272036
145	182.245439
146	181.964063
147	181.7318417
148	181.7089866
149	181.5264299
150	181.5056844
151	181.361659
152	181.2303221
153	181.207798
154	181.0374043
155	180.9764348
156	180.7124297
157	180.4090765
158	180.3961074
159	180.1870195
160	180.1137327
161	179.8875218
162	179.7099712
163	179.5967719
164	179.2906571
165	179.2427178
166	179.136269
167	178.8104639
168	178.7872282
169	178.5419886
170	178.5359572
171	178.2402284
172	177.9472723
173	177.763048
174	177.7041186
175	177.4522695
176	177.2509448
177	177.0071488
178	176.9116138
179	176.9043338
180	176.658108
181	176.4933305
182	176.349351
183	176.1773876
184	176.0222577
185	175.8893293
186	175.676147
187	175.6134671
188	175.5361154
189	175.3377905
190	175.1031693
191	174.9806389
192	174.9622589
193	174.8636024
194	174.6437892
195	174.467231
196	174.4560192
197	174.2817869
198	174.2542801
199	174.065128
200	174.0558051
201	173.8609376
202	173.648306
203	173.531572
204	173.4048472
205	173.3440485
206	173.1428003
207	172.9103277
208	172.7100472
209	172.5304309
210	172.437305
211	172.3501709
212	172.1779927
213	172.1740828
214	172.085067
215	171.9056687
216	171.8604593
217	171.8243635
218	171.658978
219	171.6295673
220	171.5876695
221	171.5438018
222	171.4687604
223	171.317237
224	171.2196752
225	171.0386702
226	171.0122975
227	170.9683009
228	170.9559535
229	170.7373118
230	170.5906391
231	170.4174565
232	170.3550253
233	170.3203048
234	170.1996059
235	170.140382
236	170.1305203
237	169.94784
238	169.9223626
239	169.7247519
240	169.5496311
241	169.3923016
242	169.2597061
243	169.1401079
244	169.1353825
245	169.0959684
246	168.9813733
247	168.977658
248	168.8573816
249	168.6652649
250	168.5701504
251	168.5164697
252	168.3709605
253	168.3107596
254	168.1956383
255	168.101979
256	168.0969604
257	167.9141715
258	167.8692169
259	167.857143
260	167.7722315
261	167.6324286
262	167.460738
263	167.337738
264	167.2257881
265	167.2036233
266	167.0591405
267	167.0223769
268	166.943633
269	166.8987499
270	166.8065328
271	166.6605924
272	166.5217337
273	166.4920429
274	166.4846363
275	166.4702376
276	166.4412631
277	166.4314968
278	166.4120223
279	166.3179968
280	166.1701454
281	166.0154122
282	165.8829345
283	165.8397272
284	165.7263463
285	165.7004992
286	165.6655035
287	165.6528748
288	165.5740639
289	165.569029
290	165.532746
291	165.4387974
292	165.2651313
293	165.245663
294	165.1610323
295	165.1598569
296	164.971
297	164.8888416
298	164.7772058
299	164.6757587
300	164.5837777
301	164.4490206
302	164.3857325
303	164.309715
304	164.1728564
305	164.1475055
306	164.0420453
307	163.9322459
308	163.8782319
309	163.7551883
310	163.7246594
311	163.6850399
312	163.6409637
313	163.5818386
314	163.5357343
315	163.5281293
316	163.5090894
317	163.384315
318	163.3166502
319	163.3061032
320	163.2648166
321	163.2280219
322	163.2003749
323	163.150637
324	163.0903633
325	163.0628035
326	162.9612936
327	162.8668551
328	162.858977
329	162.7466273
330	162.725845
331	162.6002827
332	162.5826753
333	162.4259687
334	162.4236806
335	162.3465278
336	162.2594807
337	162.2521956
338	162.2354622
339	162.2354509
340	162.1667434
341	162.1128785
342	162.0672857
343	162.0467469
344	162.0301313
345	161.9996461
346	161.9357776
347	161.8040891
348	161.7764018
349	161.7762892
350	161.7590739
351	161.7247429
352	161.7187492
